"Time [min]"	"Agitated rep 1"	"Agitated rep 2"	"Agitated rep 3"	"Agitated rep 4"	"Idle rep 1"	"Idle rep 2"	"Idle rep 3"	"Idle rep 4"
0	-0.000299643	-0.00097508	-0.00095823	-0.001518686				
2.66666664	-0.00044233	-0.001159058	-0.000261335	-0.000968438				
5.33333334	-0.00087039	-0.0000552	-0.000609783	-0.000418189				
7.99999998	-0.000585016	-0.000423148	-0.000435559	0.00013206				
10.6666667	-0.000299643	-0.000239171	-0.00095823	-0.000693313				
13.3333333	-0.001013077	-0.00097508	-0.001306677	-0.000418189				
16	-0.000299643	-0.001527012	-0.001480901	-0.000693313				
18.6666667	-0.001441138	-0.001527012	-0.00095823	0.001782806				
21.3333334	-0.00044233	-0.000791103	-0.00095823	-0.000418189				
24	-0.000727703	-0.000791103	-0.00095823	0.000407184				
26.6666666	-0.000727703	0.000128784	-0.000435559	0.000957433				
29.3333333	0.000413792	0.000864694	0.000261335	0.000957433				
32	0.000841853	0.000864694	0.000784006	0.002333055				
34.6666667	0.000128418	0.001048671	0.00095823	0.002883303				
37.3333333	0.001555288	0.000864694	0.001655124	0.003158428				
40	0.001412601	0.000864694	0.002003572	0.003158428				
42.6666667	0.000841853	0.001784581	0.000609783	0.003708676				
45.3333334	0.001412601	0.000496739	0.001306677	0.002608179				
48	-0.000156956	0.001232649	0.000784006	0.002883303				
50.6666666	0.000699166	0.000312762	0.00095823	0.001507681				
53.3333333	0.000699166	0.000496739	0.000435559	0.001232557				
56	-0.000156956	0.000680716	-0.000609783	0.001232557				
58.6666667	0.000271105	-0.0000552	-0.000609783	0.000407184				
61.3333333	-0.000727703	-0.0000552	-0.000435559	0.000957433				
64	-0.00044233	-0.0000552	-0.000261335	0.000682308				
66.6666667	0.000128418	0.000128784	-0.000609783	0.00013206				
69.3333334	-0.000585016	-0.0000552	-0.00095823	0.000407184				
72	0.000271105	-0.001527012	-0.001306677	-0.001793811				
74.6666666	-0.00087039	-0.000791103	-0.000609783	-0.001243562				
77.3333333	-0.000156956	-0.000791103	-0.000261335	-0.000693313				
80	-0.00087039	-0.001159058	-0.000784006	-0.001793811				
82.6666667	-0.00044233	-0.001527012	-0.000435559	-0.000693313				
85.3333333	-0.00087039	-0.000607125	-0.001829348	-0.000143065				
88	-0.001298451	-0.00171099	-0.001655124	-0.001243562				
90.6666667	-0.00044233	-0.00097508	-0.000784006	-0.001518686				
93.3333334	-0.001441138	-0.000423148	-0.001132454	-0.000418189				
96	-0.001155764	-0.001527012	-0.00095823	-0.000418189				
98.6666666	-0.000299643	-0.000791103	-0.000609783	-0.000693313				
101.333333	-0.001155764	-0.000791103	-0.001655124	-0.001518686				
104	-0.001013077	-0.00097508	-0.001132454	-0.000418189				
106.666667	-0.001155764	-0.00097508	-0.002352019	-0.000693313				
109.333333	-0.00087039	-0.001343035	-0.001132454	-0.002619184				
112	-0.001013077	-0.000239171	-0.00095823	-0.000418189				
114.666667	-0.001726512	-0.000607125	-0.000784006	-0.001518686				
117.333333	-0.001155764	-0.001343035	-0.001132454	0.00013206				
120	-0.001298451	-0.000791103	-0.001132454	-0.002068935				
122.666667	-0.000585016	-0.00097508	-0.000609783	-0.002619184				
125.333333	-0.001441138	-0.001159058	-0.000609783	-0.001243562				
128	-0.001155764	-0.00171099	-0.00095823	-0.000968438				
130.666667	-0.000299643	-0.001894967	-0.000784006	-0.001793811				
133.333333	-0.0000143	-0.0024469	-0.001480901	-0.000693313				
136	-0.001155764	-0.00097508	-0.001480901	-0.000968438				
138.666667	-0.000727703	-0.001343035	-0.001306677	-0.001243562				
141.333333	-0.001155764	-0.001527012	-0.001655124	-0.00234406				
144	-0.001155764	-0.000791103	-0.000784006	-0.002068935				
146.666667	-0.00044233	-0.000791103	-0.001132454	-0.002068935				
149.333333	-0.00087039	-0.001159058	-0.00095823	-0.001518686				
152	-0.00087039	-0.00097508	-0.001829348	-0.002619184				
154.666667	-0.001441138	-0.000791103	-0.00095823	-0.001243562				
157.333333	-0.001298451	-0.00097508	-0.001132454	-0.002068935				
160	-0.00087039	-0.001343035	-0.000435559	-0.001243562				
162.666667	-0.000299643	-0.001527012	-0.001829348	-0.001518686				
165.333333	-0.00087039	-0.000607125	-0.001655124	-0.001793811				
168	-0.001583825	-0.00097508	-0.001306677	-0.001793811				
170.666667	-0.001441138	-0.001159058	-0.000784006	-0.001243562				
173.333333	-0.00087039	-0.000607125	-0.001306677	-0.000693313				
176	-0.00087039	-0.001159058	-0.001480901	-0.000968438				
178.666667	-0.001869199	-0.000239171	-0.00095823	-0.000693313				
181.333333	-0.00087039	-0.000607125	-0.001132454	-0.000968438				
184	-0.001013077	-0.002078945	-0.001480901	-0.000693313				
186.666667	-0.00087039	-0.001159058	-0.001480901	-0.001518686				
189.333333	-0.001583825	-0.000607125	-0.001480901	-0.001243562				
192	-0.001583825	-0.001159058	-0.00095823	-0.002068935				
194.666667	-0.001155764	-0.002078945	-0.001655124	-0.002068935				
197.333333	-0.001155764	-0.00097508	-0.000784006	-0.001518686				
200	-0.001298451	-0.001159058	-0.001306677	-0.001793811				
202.666667	-0.001013077	-0.001343035	-0.001655124	-0.00234406				
205.333333	-0.001583825	-0.002078945	-0.00095823	-0.002068935				
208	-0.00087039	-0.001159058	-0.001306677	-0.000968438				
210.666667	-0.001726512	-0.001159058	-0.001306677	-0.001243562				
213.333333	-0.001583825	-0.001343035	-0.00287469	-0.001518686				
216	-0.001298451	-0.001159058	-0.001655124	-0.001518686				
218.666667	-0.00087039	-0.001527012	-0.001480901	-0.002619184				
221.333333	-0.00087039	-0.002078945	-0.001655124	-0.001793811				
224	-0.001013077	-0.000791103	-0.001480901	-0.002068935				
226.666667	-0.001298451	0.000312762	-0.001306677	-0.001243562				
229.333333	-0.001583825	-0.001527012	-0.002526242	-0.001243562				
232	-0.001013077	-0.001159058	-0.001480901	-0.002068935				
234.666667	-0.001298451	-0.001894967	-0.001306677	-0.001793811				
237.333333	-0.001155764	-0.002078945	-0.001655124	-0.001243562				
240	-0.001013077	-0.00097508	-0.001132454	-0.000968438				
242.666667	-0.000585016	-0.00097508	-0.001829348	-0.001243562				
245.333333	-0.001298451	-0.001527012	-0.002003572	-0.001793811				
248	-0.001298451	-0.001159058	-0.002003572	-0.001793811				
250.666667	-0.001298451	-0.001159058	-0.001829348	-0.00234406				
253.333333	-0.001441138	-0.001527012	-0.001306677	-0.000418189				
256	-0.001013077	-0.002078945	-0.001480901	-0.001518686				
258.666667	-0.001298451	-0.001894967	-0.001480901	-0.002068935				
261.333333	-0.001013077	-0.001343035	-0.001132454	-0.002619184				
264	-0.001298451	-0.001159058	-0.001306677	-0.000693313				
266.666667	-0.001726512	-0.002078945	-0.001829348	-0.001793811				
269.333333	-0.001583825	-0.001159058	-0.001480901	-0.001243562				
272	-0.001441138	-0.000791103	-0.001829348	-0.000968438				
274.666667	-0.000585016	-0.00171099	-0.001655124	-0.001243562				
277.333333	-0.000299643	-0.000791103	-0.001829348	-0.002068935				
280	-0.00087039	-0.001159058	-0.001655124	-0.001793811				
282.666667	-0.001155764	-0.001894967	-0.001132454	-0.001793811				
285.333333	-0.000727703	-0.001527012	-0.001306677	-0.002068935				
288	-0.00044233	-0.001159058	-0.001306677	-0.001518686				
290.666667	-0.00044233	-0.00171099	-0.00095823	-0.000968438				
293.333333	-0.001013077	-0.001159058	-0.001655124	-0.001793811				
296	-0.000585016	-0.00171099	-0.00095823	-0.001518686				
298.666667	-0.001013077	-0.000239171	-0.001829348	-0.00234406				
301.333333	-0.00044233	-0.000607125	-0.001132454	-0.001793811				
304	-0.00087039	-0.001527012	-0.001306677	-0.001518686				
306.666667	-0.001583825	-0.00171099	-0.001829348	-0.001243562				
309.333333	-0.000585016	-0.001343035	-0.001829348	-0.001793811				
312	-0.001583825	-0.002262922	-0.001306677	-0.002619184				
314.666667	-0.00087039	-0.00171099	-0.001480901	-0.001518686				
317.333333	-0.001583825	-0.001527012	-0.001655124	-0.001518686				
320	-0.00087039	-0.002262922	-0.002003572	-0.001793811				
322.666667	-0.00087039	-0.002814854	-0.001132454	-0.001243562				
325.333333	-0.001298451	-0.00171099	-0.001480901	-0.000968438				
328	-0.001298451	-0.002814854	-0.002177795	-0.001243562				
330.666667	-0.000727703	-0.001527012	-0.001655124	-0.002068935				
333.333333	-0.001441138	-0.00171099	-0.001480901	-0.001518686				
336	-0.001155764	-0.002262922	-0.001306677	-0.001243562				
338.666667	-0.001583825	-0.001894967	-0.002177795	-0.001243562				
341.333333	-0.001583825	-0.002078945	-0.002003572	-0.00234406				
344	-0.00087039	-0.001343035	-0.002526242	-0.000968438				
346.666667	-0.001013077	-0.001343035	-0.001480901	-0.002894308				
349.333333	-0.001441138	-0.002078945	-0.001306677	-0.003169433				
352	-0.000727703	-0.00097508	-0.000784006	-0.00234406				
354.666667	-0.001298451	-0.00097508	-0.001480901	-0.001518686				
357.333333	-0.001155764	-0.00097508	-0.001132454	-0.002619184				
360	-0.001583825	-0.001527012	-0.00095823	-0.001518686				
362.666667	-0.001298451	-0.001527012	-0.001306677	-0.002894308				
365.333333	-0.001441138	-0.001343035	-0.002700466	-0.00234406				
368	-0.001298451	-0.001343035	-0.001306677	-0.001793811				
370.666667	-0.001013077	-0.001159058	-0.001480901	-0.001793811				
373.333333	-0.000727703	-0.001343035	-0.00095823	-0.002068935				
376	-0.000727703	-0.002262922	-0.001829348	-0.000968438				
378.666667	-0.001298451	-0.001894967	-0.001655124	-0.002619184				
381.333333	-0.001013077	-0.00171099	-0.001829348	-0.001243562				
384	-0.001155764	-0.001343035	-0.001306677	-0.002619184				
386.666667	-0.001013077	-0.00171099	-0.002700466	-0.00234406				
389.333333	-0.001583825	-0.001894967	-0.001306677	-0.001793811				
392	-0.001583825	-0.00171099	-0.002003572	-0.000968438				
394.666667	-0.001869199	-0.002262922	-0.001655124	-0.000143065				
397.333333	-0.001013077	-0.001159058	-0.001655124	-0.001793811				
400	-0.001155764	-0.00171099	-0.001655124	-0.002068935				
402.666667	-0.001155764	-0.001894967	-0.002003572	-0.00234406				
405.333333	-0.001726512	-0.00171099	-0.001306677	-0.002068935				
408	-0.001155764	-0.001527012	-0.002526242	-0.000418189				
410.666667	-0.001298451	-0.001527012	-0.001655124	-0.00234406				
413.333333	-0.001013077	-0.001343035	-0.001480901	-0.001518686				
416	-0.001298451	-0.002262922	-0.00095823	-0.00234406				
418.666667	-0.001013077	-0.001527012	-0.001655124	-0.00234406				
421.333333	-0.001583825	-0.00171099	-0.001306677	-0.001793811				
424	-0.001298451	-0.00097508	-0.001306677	-0.002619184				
426.666667	-0.001441138	-0.002078945	-0.002003572	-0.001793811				
429.333333	-0.001013077	-0.00171099	-0.001829348	-0.00234406				
432	-0.00044233	-0.002262922	-0.001829348	-0.00234406				
434.666667	-0.002011886	-0.00171099	-0.001655124	-0.002068935				
437.333333	-0.00087039	-0.00171099	-0.001306677	-0.002894308				
440	-0.001869199	-0.001894967	-0.002003572	-0.000693313				
442.666667	-0.001155764	-0.001894967	-0.00095823	-0.002068935				
445.333333	-0.00087039	-0.00171099	-0.002352019	-0.00234406				
448	-0.001013077	-0.001527012	-0.000784006	-0.001243562				
450.666667	-0.001726512	-0.001527012	-0.002003572	-0.003169433				
453.333333	-0.001013077	-0.001343035	-0.001132454	-0.001793811				
456	-0.001583825	-0.00097508	-0.002177795	-0.000968438				
458.666667	-0.001155764	-0.001527012	-0.002177795	-0.000968438				
461.333333	-0.001013077	-0.00097508	-0.002352019	-0.001793811				
464	-0.001298451	-0.001527012	-0.001655124	-0.00234406				
466.666667	-0.001298451	-0.001159058	-0.002177795	-0.00234406				
469.333333	-0.001155764	-0.000239171	-0.00095823	-0.001518686				
472	-0.001298451	-0.00171099	-0.001829348	-0.001518686				
474.666667	-0.001583825	-0.001527012	-0.001655124	-0.000968438				
477.333333	-0.000585016	-0.00171099	-0.001829348	-0.00234406				
480	-0.001298451	-0.001527012	-0.001306677	-0.001518686				
482.666667	-0.002011886	-0.001527012	-0.001132454	-0.002068935				
485.333333	-0.001298451	-0.00171099	-0.001480901	-0.002068935				
488	-0.001298451	-0.001343035	-0.001480901	-0.001793811				
490.666667	-0.001441138	-0.00171099	-0.001480901	-0.001793811				
493.333333	-0.002011886	-0.002078945	-0.001480901	-0.003169433				
496	-0.001013077	-0.002078945	-0.001655124	-0.002894308				
498.666667	-0.00229726	-0.001894967	-0.001132454	-0.003444557				
501.333333	-0.001155764	-0.001527012	-0.001655124	-0.002894308				
504	-0.001583825	-0.001159058	-0.002352019	-0.002619184				
506.666667	-0.001298451	-0.000791103	-0.001829348	-0.003994806				
509.333333	-0.001013077	-0.00171099	-0.002003572	-0.00234406				
512	-0.001155764	-0.00097508	-0.001829348	-0.002894308				
514.666667	-0.001441138	-0.000607125	-0.001655124	-0.00234406				
517.333333	-0.001441138	-0.001343035	-0.001655124	-0.001518686				
520	-0.001441138	-0.000607125	-0.002177795	-0.001793811				
522.666667	-0.001726512	-0.001343035	-0.001655124	-0.002894308				
525.333333	-0.001726512	-0.002078945	-0.001306677	-0.00234406				
528	-0.001441138	-0.00171099	-0.001829348	-0.002619184				
530.666667	-0.001441138	-0.0024469	-0.002700466	-0.001793811				
533.333333	-0.001583825	-0.002078945	-0.002003572	-0.002068935				
536	-0.001441138	-0.001894967	-0.001480901	-0.000693313				
538.666667	-0.001155764	-0.001159058	-0.002003572	-0.001793811				
541.333333	-0.001013077	-0.002078945	-0.002526242	-0.00234406				
544	-0.001298451	-0.001894967	-0.002352019	-0.00234406				
546.666667	-0.001583825	-0.001159058	-0.002003572	-0.002894308				
549.333333	-0.00229726	-0.001894967	-0.002003572	-0.002068935				
552	-0.00229726	-0.001159058	-0.001829348	-0.00234406				
554.666667	-0.001869199	-0.00171099	-0.002526242	-0.000693313				
557.333333	-0.001013077	-0.001894967	-0.001829348	-0.00234406				
560	-0.001155764	-0.001894967	-0.002177795	-0.002068935				
562.666667	-0.001583825	-0.001894967	-0.002526242	-0.002894308				
565.333333	-0.001869199	-0.002262922	-0.002003572	-0.001518686				
568	-0.001298451	-0.001527012	-0.002526242	-0.001793811				
570.666667	-0.001155764	-0.001159058	-0.002003572	-0.000693313				
573.333333	-0.001298451	-0.00171099	-0.002177795	-0.002894308				
576	-0.001726512	-0.00097508	-0.002177795	-0.003169433				
578.666667	-0.00087039	-0.002078945	-0.002177795	-0.004545054				
581.333333	-0.001869199	-0.00171099	-0.001829348	-0.002068935				
584	-0.001155764	-0.001894967	-0.002352019	-0.002619184				
586.666667	-0.001298451	-0.001527012	-0.001132454	-0.00234406				
589.333333	-0.001583825	-0.002630877	-0.001306677	-0.003719681				
592	-0.001298451	-0.00097508	-0.002352019	-0.002068935				
594.666667	-0.001726512	-0.001159058	-0.001306677	-0.002894308				
597.333333	-0.001726512	-0.001894967	-0.001306677	-0.002894308				
600	-0.00087039	-0.001894967	-0.001829348	-0.001243562				
602.666666	-0.001441138	-0.001343035	-0.002003572	-0.001793811				
605.333333	-0.001441138	-0.00171099	-0.002526242	-0.00426993				
608	-0.001726512	-0.001894967	-0.002177795	-0.002619184				
610.666667	-0.001298451	-0.001343035	-0.001480901	-0.00234406				
613.333333	-0.001298451	-0.001527012	-0.002177795	-0.002894308				
616	-0.001298451	-0.001894967	-0.002177795	-0.001793811				
618.666667	-0.001155764	-0.00171099	-0.002003572	-0.000143065				
621.333334	-0.001155764	-0.00171099	-0.002003572	-0.001793811				
624	-0.001155764	-0.001159058	-0.001829348	-0.001793811				
626.666666	-0.001869199	-0.001894967	-0.001829348	-0.00234406				
629.333333	-0.001155764	-0.001527012	-0.001480901	-0.002068935				
632	-0.001583825	-0.0024469	-0.001480901	-0.001793811				
634.666667	-0.001583825	-0.001527012	-0.002177795	-0.001243562				
637.333333	-0.001583825	-0.002078945	-0.00287469	-0.003444557				
640	-0.001441138	-0.001894967	-0.002352019	-0.003444557				
642.666667	-0.001583825	-0.002078945	-0.001655124	-0.003169433				
645.333334	-0.001441138	-0.0024469	-0.001655124	-0.00426993				
648	-0.001869199	-0.001894967	-0.002352019	-0.001518686				
650.666666	-0.000727703	-0.001159058	-0.002177795	-0.002068935				
653.333333	-0.001013077	-0.00171099	-0.001829348	-0.002894308				
656	-0.001155764	-0.001343035	-0.002003572	-0.001793811				
658.666667	-0.00087039	-0.002262922	-0.001829348	-0.002894308				
661.333333	-0.001013077	-0.001159058	-0.001306677	-0.002894308				
664	-0.001441138	-0.002078945	-0.001480901	-0.003169433				
666.666667	-0.001298451	-0.00171099	-0.001480901	-0.002894308				
669.333334	-0.001583825	-0.001159058	-0.001306677	-0.002068935				
672	-0.001155764	-0.00171099	-0.002003572	-0.00234406				
674.666666	-0.001298451	-0.001159058	-0.002003572	-0.002894308				
677.333333	-0.001583825	-0.0024469	-0.001829348	-0.003444557				
680	-0.001583825	-0.001527012	-0.002003572	-0.00234406				
682.666667	-0.001441138	-0.001527012	-0.001306677	-0.00234406				
685.333333	-0.001583825	-0.00097508	-0.001655124	-0.003169433				
688	-0.002154573	-0.001527012	-0.001829348	-0.003169433				
690.666667	-0.001155764	-0.00171099	-0.001480901	-0.002068935				
693.333334	-0.001726512	-0.001343035	-0.002526242	-0.003444557				
696	-0.001869199	-0.001159058	-0.002003572	-0.003994806				
698.666666	-0.002154573	-0.001159058	-0.002177795	-0.001793811				
701.333333	-0.001155764	-0.00171099	-0.002003572	-0.002619184				
704	-0.001441138	-0.001159058	-0.001306677	-0.002619184				
