"Time [min]"	"Agitated pH 8 rep 1"	"Agitated pH 8 rep 2"	"Agitated pH 8 rep 3"	"Agitated pH 8 rep 4"	"Agitated pH 8 rep 5"	"Agitated pH 8 rep 6"	"Agitated pH 8 rep 7"	"Agitated pH 8 rep 8"	"Idle pH 8 rep 1"	"Idle pH 8 rep 2"	"Idle pH 8 rep 3"	"Idle pH 8 rep 4"	"Idle pH 8 rep 5"	"Idle pH 8 rep 6"	"Idle pH 8 rep 7"	"Idle pH 8 rep 8"
13.5	0.00844390832328105	0.00605489773950484	-0.000582467721580437	-0.0038526529232849	0.00586653629919333	0.0104334865234132	0.0192031352057479	0.00383468257349807								
14.85	-0.000603136308805799	0	-0.00349480632948258	0.00425819533626224	-0.010633097042288	-0.00260837163085332	-0.00627041149575439	0.00748676121492482								
16.2	0.00241254523522315	0.00403659849300323	-0.00349480632948258	-0.00588036498817169	0.000366658518699564	0.00298099614954663	0.00156760287393862	0.000182603932071327								
17.55	-0.00211097708082027	-0.0100914962325081	0.00232987088632171	-0.00182494085839812	0.00586653629919333	0.00298099614954663	-0.000391900718484628	0.00566072189421144								
18.9	0.00392038600723763	0	0.000873701582370635	-0.00182494085839812	0.00403324370569541	0.00111787355607998	0.00156760287393862	0.0020086432527847								
20.25	0.00241254523522315	0.00201829924650161	-0.000582467721580437	0.000202771206488667	0.00219995111219749	0.00298099614954663	-0.00235140431090788	-0.00346947470935542								
21.6	-0.00512665862484922	0.00403659849300323	0.000873701582370635	0.00223048327137545	-0.00696651185529213	-0.00633461681778662	0.00156760287393862	0.000182603932071327								
23	-0.00814234016887817	0	0.00669837879817493	0.00425819533626224	0.00586653629919333	-0.0156502297851199	-0.00822991508817764	0.0020086432527847								
24.3	-0.00361881785283475	-0.00201829924650161	-0.00495097563343366	-0.0038526529232849	0.000366658518699564	0.00111787355607998	-0.00822991508817764	-0.00712155335078216								
25.7	0.00241254523522315	-0.00403659849300323	0.00232987088632171	0.00628590740114902	-0.00696651185529213	0.00298099614954663	0.00156760287393862	-0.0107736319922089								
27	-0.000603136308805799	0.00807319698600646	-0.00640714493738473	0.00831361946603581	-0.00329992666829628	0.00111787355607998	0.00548661005878513	-0.00529551403006879								
28.4	-0.000603136308805799	0.00201829924650161	-0.000582467721580437	0.0103413315309226	-0.00329992666829628	-0.000745249037386671	0.00744611365120838	0.000182603932071327								
29.7	0.00844390832328105	0.00201829924650161	-0.0078633142413358	0.00425819533626224	-0.00146663407479836	0.00484411874301328	0.00548661005878513	0.0020086432527847								
31.1	0.00693606755126658	-0.00201829924650161	0.00232987088632171	-0.00182494085839812	-0.00146663407479836	0.00670724133647993	0.00156760287393862	0.0020086432527847								
32.4	0.00995174909529553	0.00201829924650161	-0.00203863702553151	0.00223048327137545	0.000366658518699564	0.00111787355607998	-0.00431090790333113	0.000182603932071327								
33.8	0.00995174909529553	0.0242195909580194	0.000873701582370635	-0.00588036498817169	-0.00329992666829628	0.00670724133647993	0.00744611365120838	-0.00346947470935542								
35.1	0.00844390832328105	0.0423842841765339	0.00378604019027278	-0.00182494085839812	-0.00329992666829628	0.00857036392994658	0.00548661005878513	0.00566072189421144								
36.5	0.0159831121833534	0.0383476856835307	0.00232987088632171	0.00628590740114902	-0.00146663407479836	0.00857036392994658	0.00744611365120838	0.0129648791770649								
37.8	0.01145958986731	0.0423842841765339	0.0168915639258324	0.016424467725583	0.00219995111219749	0.0178859768972798	0.0133246244284781	0.0111388398563516								
39.2	0.0220144752714113	0.0565123789020452	0.0139792253179303	0.00628590740114902	0.00586653629919333	0.0141597317103465	0.00548661005878513	0.0166169578184917								
40.5	0.0250301568154403	0.0605489773950484	0.0110668867100281	0.0123690435958094	-0.00329992666829628	0.0253384672711464	0.00352710646636188	0.0348773510256254								
41.9	0.0280458383594692	0.078713670613563	0.0183477332297835	0.0245353159851301	0.00219995111219749	0.0234753446776798	0.0172436316133246	0.0367033903463388								
43.2	0.0370928829915561	0.088805166846071	0.0183477332297835	0.0184521797904697	0.00769982889269125	0.0439696932058129	0.0113651208360549	0.0312252723841987								
44.6	0.040108564535585	0.117061356297094	0.0270847490534899	0.0265630280500169	0.0150329992666829	0.0421065706123463	0.0250816459830177	0.0367033903463388								
45.9	0.0506634499396864	0.127152852529602	0.0270847490534899	0.034673876309564	0.0113664140796871	0.0495590609862129	0.0309601567602874	0.0421815083084789								
47.3	0.0612183353437877	0.155409041980624	0.0343655955732453	0.0549509969584319	0.0205328770471767	0.075642777294746	0.0348791639451339	0.0604419015156126								
48.6	0.0823281061519903	0.161463939720129	0.0460149500048539	0.0508955728286583	0.0315326326081642	0.0830952676686126	0.0250816459830177	0.062267940836326								
50	0.0883594692400482	0.207884822389666	0.0503834579167071	0.044812436633998	0.0278660474211684	0.0998633710098124	0.0642717178314827	0.076876255402033								
51.3	0.110977080820265	0.242195909580194	0.0591204737404135	0.091449814126394	0.0278660474211684	0.0998633710098124	0.0564337034617897	0.10244080589202								
52.7	0.121531966224367	0.254305705059203	0.0722259974759732	0.0934775261912808	0.0406990955756538	0.137125822879145	0.0544741998693665	0.106092884533447								
54	0.132086851628468	0.286598493003229	0.0926123677312882	0.117810070969922	0.0480322659496455	0.157620171407279	0.0779882429784455	0.124353277740581								
55.4	0.154704463208685	0.318891280947255	0.105717891466848	0.134031767489017	0.0571987289171351	0.155757048813812	0.0936642717178315	0.129831395702721								
56.7	0.172798552472859	0.359257265877287	0.112998737986603	0.158364312267658	0.060865314104131	0.207924481430878	0.109340300457218	0.171830300079128								
58.1	0.19692400482509	0.395586652314316	0.129016600330065	0.178641432916526	0.0791982400391102	0.228418829959011	0.138732854343566	0.182786536003409								
59.4	0.218033775633293	0.435952637244349	0.156683817105135	0.205001689760054	0.0975311659740894	0.254502546267544	0.148530372305683	0.204699007851969								
60.8	0.233112183353438	0.46219052744887	0.179982525968353	0.235417370733356	0.101197751161085	0.289901875543411	0.160287393860222	0.23208959766267								
62.1	0.254221954161641	0.516684607104413	0.188719541792059	0.255694491382224	0.130530432657052	0.312259346665011	0.189679947746571	0.261306226794084								
63.5	0.275331724969843	0.557050592034446	0.210562081351325	0.294221020615073	0.143363480811537	0.347658675940877	0.209274983670803	0.283218698642644								
64.8	0.293425814234017	0.599434876210979	0.242597806038249	0.310442717134167	0.152529943779027	0.37933176002981	0.256303069888962	0.321565524377625								
66.2	0.332629674306393	0.672093649085038	0.261528006989613	0.355052382561676	0.180029332681496	0.41845733449261	0.277857609405617	0.343477996226185								
67.5	0.361278648974668	0.698331539289559	0.292107562372585	0.385468063534978	0.214861891957956	0.461309154142343	0.307250163291966	0.38912897924402								
68.9	0.37183353437877	0.742734122712594	0.316862440539753	0.419939168638053	0.227694940112442	0.504160973792076	0.334683213585892	0.420171647696147								
70.2	0.401990349819059	0.781081808396125	0.341617318706922	0.474687394389997	0.253361036421413	0.533970935287542	0.354278249510124	0.449388276827561								
71.6	0.423100120627262	0.805301399354144	0.354722842442481	0.490909090909091	0.271693962356392	0.571233387156875	0.397387328543436	0.482256984600402								
72.9	0.451749095295537	0.847685683530678	0.388214736433356	0.545657316661034	0.302859936445857	0.628990187554341	0.434617896799477	0.505995495769676								
74.3	0.477382388419783	0.894106566200215	0.417338122512377	0.572017573504562	0.330359325348326	0.649484536082474	0.464010450685826	0.553472518108223								
