Dataset	m0	half_time	log(m0)	log(half_time)
221018 ab42 fast unseeded: 20.0 µMA01	2e-05	0.2592123483507867	-10.819778284410283	-1.350107675396545
221018 ab42 fast unseeded: 20.0 µMB01	2e-05	0.2647504958349861	-10.819778284410283	-1.3289674216601233
221018 ab42 fast unseeded: 15.0 µMA02	1.5e-05	0.2993421769824354	-11.107460356862065	-1.206167955299726
221018 ab42 fast unseeded: 15.0 µMB02	1.5e-05	0.29873473541460205	-11.107460356862065	-1.2081992718883232
221018 ab42 fast unseeded: 10.0 µMA03	1e-05	0.45251845383990125	-11.512925464970229	-0.7929267347070854
221018 ab42 fast unseeded: 10.0 µMB03	1e-05	0.4587025673162735	-11.512925464970229	-0.7793532804549014
221018 ab42 fast unseeded: 7.5 µMA04	7e-06	0.39975792988177966	-11.86960040890896	-0.9168960903621879
221018 ab42 fast unseeded: 7.5 µMB04	7e-06	0.4707228116823226	-11.86960040890896	-0.7534858684344508
221018 ab42 fast unseeded: 5.0 µMA05	5e-06	0.6026901599492426	-12.206072645530174	-0.5063520452412482
221018 ab42 fast unseeded: 5.0 µMB05	5e-06	0.585725910617347	-12.206072645530174	-0.5349033281465376
221018 ab42 fast unseeded: 3.75 µMA06	3.75e-06	0.8611648575713218	-12.493754717981954	-0.14946932067459845
221018 ab42 fast unseeded: 3.75 µMB06	3.75e-06	0.8983871179593429	-12.493754717981954	-0.10715421453053825
221018 ab42 fast unseeded: 2.5 µMA07	2.5e-06	1.1563138627686764	-12.89921982609012	0.14523724098403165
221018 ab42 fast unseeded: 2.5 µMB07	2.5e-06	1.0432271318073099	-12.89921982609012	0.04231892010291494
221018 ab42 fast unseeded: 1.88 µMA08	1.9e-06	1.6073591144659118	-13.17365667179188	0.4745925306548389
221018 ab42 fast unseeded: 1.88 µMB08	1.9e-06	1.7843354574926968	-13.17365667179188	0.5790460531922841
221018 ab42 fast unseeded: 1.25 µMA09	1.25e-06	2.935246355830738	-13.592367006650065	1.076791387008203
221018 ab42 fast unseeded: 1.25 µMB09	1.25e-06	2.6591557416864755	-13.592367006650065	0.9780086820712023
221018 ab42 fast unseeded: 0.94 µMA10	9e-07	5.003579257695873	-13.9208710736221	1.610153507873774
221018 ab42 fast unseeded: 0.94 µMB10	9e-07	4.910075034231349	-13.9208710736221	1.591289223610507
