Time (min)	E01	E02	E03	E04
0.0	372.0	369.0	378.0	387.0
0.18333333333333332	361.0	354.0	372.0	386.0
0.36666666666666664	365.0	360.0	377.0	375.0
0.55	349.0	366.0	373.0	374.0
0.7333333333333333	355.0	358.0	376.0	375.0
0.9166666666666666	356.0	358.0	366.0	376.0
1.1	365.0	362.0	374.0	384.0
1.2833333333333334	370.0	364.0	369.0	374.0
1.4666666666666666	361.0	363.0	382.0	370.0
1.65	359.0	352.0	370.0	366.0
1.8333333333333333	360.0	348.0	372.0	371.0
2.0166666666666666	361.0	355.0	369.0	380.0
2.2	360.0	355.0	377.0	361.0
2.3833333333333333	367.0	356.0	364.0	370.0
2.566666666666667	353.0	350.0	371.0	377.0
2.75	361.0	363.0	365.0	372.0
2.933333333333333	365.0	357.0	372.0	381.0
3.1166666666666667	365.0	349.0	380.0	389.0
3.3	359.0	349.0	368.0	375.0
3.4833333333333334	359.0	359.0	373.0	379.0
3.6666666666666665	356.0	361.0	367.0	381.0
3.85	360.0	357.0	361.0	372.0
4.033333333333333	366.0	351.0	364.0	374.0
4.216666666666667	348.0	361.0	359.0	378.0
4.4	356.0	355.0	365.0	378.0
4.583333333333333	363.0	354.0	374.0	395.0
4.766666666666667	355.0	350.0	365.0	383.0
4.95	357.0	353.0	363.0	378.0
5.133333333333334	350.0	353.0	373.0	377.0
5.316666666666666	366.0	347.0	366.0	391.0
5.5	356.0	350.0	371.0	377.0
5.683333333333334	356.0	356.0	373.0	376.0
5.866666666666666	368.0	357.0	372.0	379.0
6.05	364.0	360.0	365.0	386.0
6.233333333333333	354.0	340.0	359.0	385.0
6.416666666666667	356.0	348.0	367.0	379.0
6.6	358.0	356.0	371.0	387.0
6.783333333333333	367.0	355.0	380.0	384.0
6.966666666666667	346.0	357.0	370.0	377.0
7.15	360.0	360.0	357.0	387.0
7.333333333333333	366.0	361.0	372.0	381.0
7.516666666666667	350.0	360.0	371.0	389.0
7.7	369.0	351.0	358.0	378.0
7.883333333333334	360.0	352.0	370.0	380.0
8.066666666666666	358.0	364.0	358.0	380.0
8.25	366.0	345.0	364.0	386.0
8.433333333333334	350.0	360.0	368.0	381.0
8.616666666666667	361.0	364.0	368.0	388.0
8.8	356.0	349.0	370.0	383.0
8.983333333333333	366.0	355.0	361.0	385.0
9.166666666666666	369.0	356.0	364.0	383.0
9.35	348.0	344.0	378.0	382.0
9.533333333333333	350.0	365.0	367.0	394.0
9.716666666666667	359.0	374.0	368.0	387.0
9.9	369.0	357.0	364.0	384.0
10.083333333333334	360.0	358.0	371.0	386.0
10.266666666666667	367.0	366.0	371.0	398.0
10.45	375.0	364.0	358.0	387.0
10.633333333333333	373.0	368.0	366.0	386.0
10.816666666666666	357.0	354.0	373.0	394.0
11.0	360.0	367.0	366.0	397.0
11.183333333333334	369.0	364.0	363.0	390.0
11.366666666666667	366.0	360.0	372.0	391.0
11.55	374.0	358.0	381.0	395.0
11.733333333333333	364.0	378.0	370.0	403.0
