Time (min)	D05	D06	D07	D08
0.0	321.0	327.0	341.0	330.0
0.18333333333333332	313.0	313.0	336.0	330.0
0.36666666666666664	329.0	319.0	345.0	330.0
0.55	321.0	302.0	326.0	337.0
0.7333333333333333	321.0	308.0	337.0	327.0
0.9166666666666666	309.0	307.0	328.0	322.0
1.1	319.0	306.0	351.0	316.0
1.2833333333333334	321.0	313.0	326.0	329.0
1.4666666666666666	311.0	303.0	342.0	322.0
1.65	325.0	307.0	346.0	325.0
1.8333333333333333	316.0	307.0	322.0	323.0
2.0166666666666666	314.0	298.0	334.0	323.0
2.2	308.0	303.0	324.0	327.0
2.3833333333333333	316.0	308.0	331.0	320.0
2.566666666666667	326.0	309.0	335.0	322.0
2.75	311.0	310.0	321.0	313.0
2.933333333333333	316.0	305.0	332.0	316.0
3.1166666666666667	316.0	298.0	320.0	326.0
3.3	323.0	315.0	329.0	315.0
3.4833333333333334	310.0	303.0	331.0	321.0
3.6666666666666665	314.0	304.0	325.0	313.0
3.85	315.0	305.0	324.0	318.0
4.033333333333333	310.0	300.0	333.0	314.0
4.216666666666667	307.0	298.0	328.0	317.0
4.4	309.0	300.0	328.0	313.0
4.583333333333333	313.0	303.0	327.0	319.0
4.766666666666667	311.0	312.0	334.0	322.0
4.95	313.0	319.0	338.0	321.0
5.133333333333334	313.0	308.0	325.0	322.0
5.316666666666666	319.0	297.0	318.0	309.0
5.5	315.0	298.0	321.0	322.0
5.683333333333334	308.0	306.0	324.0	310.0
5.866666666666666	303.0	299.0	324.0	311.0
6.05	309.0	304.0	324.0	314.0
6.233333333333333	300.0	306.0	321.0	310.0
6.416666666666667	311.0	298.0	332.0	310.0
6.6	308.0	307.0	319.0	316.0
6.783333333333333	309.0	301.0	317.0	316.0
6.966666666666667	314.0	310.0	312.0	313.0
7.15	310.0	299.0	319.0	311.0
7.333333333333333	311.0	300.0	316.0	305.0
7.516666666666667	309.0	307.0	329.0	311.0
7.7	311.0	303.0	317.0	307.0
7.883333333333334	316.0	297.0	313.0	314.0
8.066666666666666	312.0	303.0	327.0	310.0
8.25	310.0	294.0	328.0	310.0
8.433333333333334	307.0	289.0	309.0	309.0
8.616666666666667	318.0	302.0	315.0	321.0
8.8	305.0	295.0	321.0	316.0
8.983333333333333	314.0	296.0	324.0	312.0
9.166666666666666	296.0	301.0	316.0	312.0
9.35	323.0	290.0	322.0	320.0
9.533333333333333	307.0	304.0	321.0	310.0
9.716666666666667	305.0	300.0	319.0	311.0
9.9	318.0	297.0	324.0	323.0
10.083333333333334	310.0	301.0	319.0	309.0
10.266666666666667	309.0	301.0	312.0	318.0
10.45	306.0	302.0	329.0	302.0
10.633333333333333	311.0	294.0	330.0	317.0
10.816666666666666	306.0	302.0	328.0	311.0
11.0	313.0	298.0	317.0	319.0
11.183333333333334	310.0	293.0	321.0	316.0
11.366666666666667	318.0	302.0	325.0	326.0
11.55	314.0	300.0	319.0	312.0
11.733333333333333	314.0	302.0	316.0	318.0
11.916666666666666	304.0	298.0	328.0	320.0
12.1	315.0	286.0	320.0	310.0
12.283333333333333	307.0	301.0	323.0	314.0
12.466666666666667	313.0	300.0	322.0	316.0
12.65	309.0	295.0	321.0	314.0
12.833333333333334	316.0	300.0	323.0	320.0
13.016666666666667	313.0	302.0	317.0	307.0
13.2	325.0	297.0	325.0	313.0
13.383333333333333	313.0	296.0	319.0	312.0
13.566666666666666	316.0	308.0	327.0	317.0
13.75	310.0	306.0	328.0	312.0
13.933333333333334	308.0	300.0	320.0	303.0
14.116666666666667	302.0	293.0	325.0	316.0
14.3	307.0	304.0	314.0	321.0
14.483333333333333	315.0	302.0	319.0	314.0
14.666666666666666	316.0	299.0	315.0	319.0
14.85	313.0	305.0	316.0	313.0
15.033333333333333	307.0	299.0	320.0	306.0
15.216666666666667	305.0	298.0	319.0	304.0
15.4	312.0	308.0	325.0	314.0
15.583333333333334	313.0	290.0	325.0	316.0
15.766666666666667	329.0	304.0	328.0	312.0
15.95	313.0	305.0	323.0	321.0
16.133333333333333	306.0	300.0	325.0	303.0
16.316666666666666	318.0	302.0	318.0	315.0
16.5	311.0	299.0	331.0	316.0
16.683333333333334	320.0	293.0	330.0	312.0
16.866666666666667	314.0	288.0	314.0	313.0
17.05	309.0	293.0	322.0	315.0
17.233333333333334	320.0	306.0	322.0	308.0
17.416666666666668	320.0	296.0	322.0	313.0
17.6	318.0	294.0	312.0	320.0
17.783333333333335	320.0	301.0	317.0	322.0
17.966666666666665	311.0	299.0	325.0	308.0
18.15	320.0	293.0	319.0	313.0
18.333333333333332	325.0	280.0	327.0	308.0
18.516666666666666	313.0	296.0	326.0	313.0
18.7	315.0	302.0	322.0	317.0
18.883333333333333	322.0	304.0	329.0	319.0
19.066666666666666	318.0	297.0	324.0	313.0
19.25	316.0	307.0	322.0	317.0
19.433333333333334	319.0	296.0	321.0	310.0
19.616666666666667	322.0	298.0	329.0	320.0
19.8	319.0	296.0	331.0	309.0
19.983333333333334	319.0	300.0	325.0	317.0
20.166666666666668	317.0	286.0	328.0	326.0
20.35	323.0	297.0	316.0	315.0
20.533333333333335	311.0	293.0	322.0	314.0
20.716666666666665	312.0	296.0	323.0	313.0
20.9	320.0	302.0	323.0	312.0
21.083333333333332	322.0	307.0	318.0	317.0
21.266666666666666	327.0	307.0	317.0	317.0
21.45	308.0	290.0	324.0	313.0
21.633333333333333	321.0	303.0	324.0	318.0
21.816666666666666	318.0	294.0	324.0	317.0
22.0	324.0	299.0	326.0	310.0
22.183333333333334	317.0	299.0	308.0	307.0
22.366666666666667	328.0	299.0	329.0	309.0
22.55	318.0	296.0	326.0	314.0
22.733333333333334	321.0	302.0	319.0	319.0
22.916666666666668	323.0	293.0	322.0	326.0
23.1	312.0	299.0	329.0	307.0
23.283333333333335	314.0	302.0	329.0	309.0
23.466666666666665	313.0	301.0	321.0	315.0
23.65	323.0	304.0	323.0	321.0
23.833333333333332	319.0	300.0	327.0	331.0
24.016666666666666	319.0	305.0	326.0	314.0
24.2	320.0	294.0	316.0	314.0
24.383333333333333	329.0	293.0	314.0	313.0
24.566666666666666	318.0	300.0	316.0	319.0
24.75	314.0	303.0	319.0	328.0
24.933333333333334	309.0	296.0	322.0	312.0
25.116666666666667	317.0	298.0	324.0	320.0
25.3	318.0	295.0	326.0	319.0
25.483333333333334	314.0	295.0	325.0	318.0
25.666666666666668	325.0	312.0	324.0	318.0
25.85	312.0	296.0	322.0	322.0
26.033333333333335	321.0	307.0	318.0	313.0
26.216666666666665	319.0	298.0	324.0	317.0
26.4	324.0	304.0	319.0	320.0
