Time (min)	H01	H02	H03	H04
0.0	267.0	282.0	279.0	277.0
4.0	274.0	269.0	269.0	274.0
8.0	266.0	268.0	273.0	271.0
12.0	267.0	266.0	273.0	271.0
16.0	269.0	259.0	263.0	262.0
20.0	269.0	263.0	263.0	271.0
24.0	268.0	274.0	275.0	278.0
28.0	261.0	269.0	271.0	270.0
32.0	264.0	273.0	273.0	271.0
36.0	266.0	273.0	268.0	275.0
40.0	271.0	279.0	273.0	270.0
44.0	269.0	283.0	271.0	275.0
48.0	280.0	284.0	277.0	276.0
52.0	286.0	290.0	286.0	282.0
56.0	302.0	301.0	284.0	273.0
60.0	316.0	304.0	291.0	278.0
64.0	332.0	318.0	301.0	283.0
68.0	347.0	334.0	308.0	292.0
72.0	372.0	364.0	329.0	303.0
76.0	408.0	374.0	338.0	306.0
80.0	451.0	408.0	344.0	326.0
84.0	488.0	421.0	369.0	342.0
88.0	528.0	461.0	397.0	366.0
92.0	593.0	486.0	424.0	384.0
96.0	647.0	533.0	454.0	404.0
100.0	710.0	573.0	478.0	445.0
104.0	766.0	610.0	524.0	481.0
108.0	829.0	658.0	552.0	516.0
112.0	878.0	699.0	582.0	553.0
116.0	935.0	747.0	627.0	591.0
120.0	997.0	776.0	671.0	637.0
124.0	1034.0	828.0	713.0	670.0
128.0	1084.0	862.0	744.0	719.0
132.0	1107.0	888.0	793.0	764.0
136.0	1149.0	928.0	835.0	791.0
140.0	1186.0	950.0	864.0	821.0
144.0	1202.0	1003.0	891.0	855.0
148.0	1231.0	1041.0	934.0	911.0
152.0	1269.0	1031.0	974.0	931.0
156.0	1261.0	1067.0	1001.0	969.0
160.0	1314.0	1102.0	1054.0	967.0
164.0	1331.0	1103.0	1079.0	1005.0
168.0	1332.0	1132.0	1091.0	1022.0
172.0	1339.0	1150.0	1099.0	1039.0
176.0	1348.0	1156.0	1116.0	1062.0
180.0	1358.0	1195.0	1134.0	1075.0
184.0	1355.0	1166.0	1158.0	1089.0
188.0	1388.0	1181.0	1173.0	1108.0
192.0	1374.0	1200.0	1183.0	1120.0
196.0	1389.0	1212.0	1211.0	1126.0
200.0	1398.0	1216.0	1211.0	1137.0
204.0	1407.0	1238.0	1213.0	1148.0
208.0	1417.0	1234.0	1235.0	1180.0
212.0	1424.0	1254.0	1250.0	1192.0
216.0	1427.0	1252.0	1240.0	1199.0
220.0	1422.0	1262.0	1246.0	1233.0
224.0	1439.0	1287.0	1266.0	1227.0
