Dataset	m0	half_time	log(m0)	log(half_time)
230713 2.5uM AB42 0 12-fluostar2: E01	1.0	31.975641380026758	0.0	3.4649744060605028
230713 2.5uM AB42 0 12-fluostar2: E02	1.0	33.334817260416166	0.0	3.5066024141415784
230713 2.5uM AB42 0 12-fluostar2: E03	1.0	33.13056428379613	0.0	3.5004562485783492
230713 2.5uM AB42 0 12-fluostar2: E04	1.0	32.567661276530224	0.0	3.483319810647029
230713 2.5uM AB42 900 12-fluostar5: H01	2.0	147.436548228474	0.6931471805599453	4.993397901723396
230713 2.5uM AB42 900 12-fluostar5: H02	2.0	161.56914893819234	0.6931471805599453	5.084933217825416
230713 2.5uM AB42 900 12-fluostar5: H03	2.0	162.39361702127658	0.6931471805599453	5.090023122898974
230713 2.5uM AB42 900 12-fluostar5: H04	2.0	163.36206896551724	0.6931471805599453	5.095969019404207
230713 2.5uM AB42 120 12-fluostar4: D05	1.0	94.77556372929577	0.0	4.551511609464854
230713 2.5uM AB42 120 12-fluostar4: D06	1.0	98.11972257485522	0.0	4.586188391979598
230713 2.5uM AB42 120 12-fluostar4: D07	1.0	97.68615792657353	0.0	4.5817598696517345
230713 2.5uM AB42 120 12-fluostar4: D08	1.0	101.35039663044694	0.0	4.618583786362941
230713 2.5uM AB42 0 12-fluostar4: D01	1.0	65.26973051110917	0.0	4.178528383806201
230713 2.5uM AB42 0 12-fluostar4: D02	1.0	65.76693350664945	0.0	4.186117181726524
230713 2.5uM AB42 0 12-fluostar4: D03	1.0	61.978701987376034	0.0	4.126790809697196
230713 2.5uM AB42 0 12-fluostar4: D04	1.0	64.22817418206185	0.0	4.162441964617215
230712 2.5uM AB42 480 12-fluostar4: H01	1.0	144.92859992050654	0.0	4.9762412068034845
230712 2.5uM AB42 480 12-fluostar4: H02	1.0	151.0669921744741	0.0	5.017723395212949
230712 2.5uM AB42 480 12-fluostar4: H03	1.0	147.06537753293262	0.0	4.990877233030929
230712 2.5uM AB42 480 12-fluostar4: H04	1.0	133.25915313565724	0.0	4.8922957521363895
230713 2.5uM AB42 30 12-fluostar5: D01	1.0	75.4201846996005	0.0	4.323074940774448
230713 2.5uM AB42 30 12-fluostar5: D02	1.0	76.61511717617728	0.0	4.338794409444584
230713 2.5uM AB42 30 12-fluostar5: D03	1.0	75.17656393927255	0.0	4.319839532639205
230713 2.5uM AB42 30 12-fluostar5: D04	1.0	75.0054888733205	0.0	4.317561295836027
230713 2.5uM AB42 11 12-fluostar5: D05	1.0	70.7826016829493	0.0	4.259613231559519
230713 2.5uM AB42 11 12-fluostar5: D06	1.0	71.16098824385094	0.0	4.264944750332609
230713 2.5uM AB42 11 12-fluostar5: D07	1.0	74.29998440996116	0.0	4.308110741898135
230713 2.5uM AB42 11 12-fluostar5: D08	1.0	74.41132325156026	0.0	4.309608124500079
230713 2.5uM AB42 240 12-fluostar3: H01	1.0	109.91565289954593	0.0	4.699713279834887
230713 2.5uM AB42 240 12-fluostar3: H02	1.0	119.1048951314421	0.0	4.780004576536296
230713 2.5uM AB42 240 12-fluostar3: H03	1.0	129.39118198923143	0.0	4.8628402343756445
230713 2.5uM AB42 240 12-fluostar3: H04	1.0	130.6481802426343	0.0	4.8725080633784925
230713 2.5uM AB42 240 12-fluostar1: E05	1.0	96.70139999438938	0.0	4.571627880062715
230713 2.5uM AB42 240 12-fluostar1: E06	1.0	96.20531471265328	0.0	4.566484602638907
230713 2.5uM AB42 240 12-fluostar1: E07	1.0	95.35704735854246	0.0	4.5576282397351395
230713 2.5uM AB42 240 12-fluostar1: E08	1.0	102.029132049569	0.0	4.625258380835084
