"time(h)"	"Y"			"branch index"	"6h_withvortex"		"branch index"	"6h_novortex"
0.016666667	0.02184028			0	0		0	0
0.033333333	0.01874621			1	16.5		1	1.5
0.05	0.01884121			2	9.1		2	0
0.066666667	0.01976201			3	23.1		3	0
0.083333333	0.02041477			4	8.2		4	3.2
0.1	0.01894219			5	19.1		5	3.6
0.116666667	0.01870181			6	9		6	6.6
0.133333333	0.01970037			7	5.2		7	18.7
0.15	0.0197415			8	0		8	25.1
0.166666667	0.02023604			9	5.2		9	11.6
0.183333333	0.02012382			10	0.9		10	15.1
0.2	0.02092852			11	0		11	11.1
0.216666667	0.01991881			12	3.8		12	2.5
0.233333333	0.02037325						13	1.2
0.25	0.01981551							
0.266666667	0.02028163							
0.283333333	0.02040402							
0.3	0.02080423							
0.316666667	0.02047524							
0.333333333	0.02098765							
0.35	0.02124701							
0.366666667	0.02321338							
0.383333333	0.02123275							
0.4	0.02053825							
0.416666667	0.02118148							
0.433333333	0.021151							
0.45	0.02085477							
0.466666667	0.02158409							
0.483333333	0.0227706							
0.5	0.02232097							
0.516666667	0.02197316							
0.533333333	0.02179563							
0.55	0.02232125							
0.566666667	0.02246357							
0.583333333	0.02154093							
0.6	0.02217529							
0.616666667	0.02286057							
0.633333333	0.02321629							
0.65	0.02346964							
0.666666667	0.02336704							
0.683333333	0.02298405							
0.7	0.02363399							
0.716666667	0.02349014							
0.733333333	0.02351155							
0.75	0.02399486							
0.766666667	0.02268296							
0.783333333	0.02244993							
0.8	0.02228209							
0.816666667	0.02272173							
0.833333333	0.02372376							
0.85	0.02401106							
0.866666667	0.02370354							
0.883333333	0.02329156							
0.9	0.02399707							
0.916666667	0.02444675							
0.933333333	0.02402869							
0.95	0.0237983							
0.966666667	0.02418294							
0.983333333	0.02387507							
1	0.02417774							
1.016666667	0.02401992							
1.033333333	0.02440324							
1.05	0.02463928							
1.066666667	0.0239467							
1.083333333	0.02309491							
1.1	0.02308735							
1.116666667	0.02272951							
1.133333333	0.02376539							
1.15	0.02337975							
1.166666667	0.02351684							
1.183333333	0.02325941							
1.2	0.02313384							
1.216666667	0.02321585							
1.233333333	0.02281386							
1.25	0.02248199							
1.266666667	0.02243307							
1.283333333	0.02211387							
1.3	0.02201105							
1.316666667	0.02167272							
1.333333333	0.02166439							
1.35	0.02188956							
1.366666667	0.02175505							
1.383333333	0.02214152							
1.4	0.02212292							
1.416666667	0.02219117							
1.433333333	0.02197932							
1.45	0.02225299							
1.466666667	0.02163872							
1.483333333	0.02137521							
1.5	0.02089232							
1.516666667	0.02112477							
1.533333333	0.02076453							
1.55	0.02064631							
1.566666667	0.02041431							
1.583333333	0.02041986							
1.6	0.02041884							
1.616666667	0.02016251							
1.633333333	0.01995033							
1.65	0.0199236							
1.666666667	0.01982481							
1.683333333	0.01960383							
1.7	0.0193363							
1.716666667	0.01920791							
1.733333333	0.01898081							
1.75	0.01883592							
1.766666667	0.01922881							
1.783333333	0.01911398							
1.8	0.01903648							
1.816666667	0.01900029							
1.833333333	0.01882264							
1.85	0.01862836							
1.866666667	0.01871211							
1.883333333	0.01859268							
1.9	0.018499							
1.916666667	0.01861427							
1.933333333	0.01858025							
1.95	0.01823566							
1.966666667	0.01841031							
1.983333333	0.01838345							
2	0.01829456							
2.016666667	0.0191299							
2.033333333	0.01793944							
2.05	0.0178375							
2.066666667	0.01784787							
2.083333333	0.01771509							
2.1	0.01789432							
2.116666667	0.01787283							
2.133333333	0.01776769							
2.15	0.01765765							
2.166666667	0.01786578							
2.183333333	0.01768289							
2.2	0.01737001							
2.216666667	0.01760711							
2.233333333	0.01750145							
2.25	0.01743757							
2.266666667	0.01748188							
2.283333333	0.01717855							
2.3	0.0175689							
2.316666667	0.01743801							
2.333333333	0.01735012							
2.35	0.0172208							
2.366666667	0.01736349							
2.383333333	0.0172569							
2.4	0.0174775							
2.416666667	0.0174385							
2.433333333	0.01772543							
2.45	0.01769167							
2.466666667	0.0176717							
2.483333333	0.01762044							
2.5	0.01753513							
2.516666667	0.01782152							
2.533333333	0.01782629							
2.55	0.01793322							
2.566666667	0.01783234							
2.583333333	0.01780984							
2.6	0.01827307							
2.616666667	0.01803272							
2.633333333	0.01817438							
2.65	0.01816209							
