"time [h]"	"Idle rep 1"	"Idle rep 2"	"Idle rep 3"	"Idle rep 4"	"Idle rep 5"	"Idle rep 6"			"Agitated rep 1"	"Agitated rep 2"	"Agitated rep 3"
0	100	100	100	100	100	100					
0.333333	80.95682204	81.62017	79.34263	80.80885	68.83211	71.26705					
0.666667	78.25404447	79.81534	78.91457	77.92303	67.48787	70.39866					
1	86.47687819	87.15435	86.13759	85.35594	74.12032	77.15103					
1.333333	89.42250868	92.59734	88.32014	89.33209	78.87675	82.9761					
1.666667	91.72545616	94.81443	91.91547	93.49888	82.02601	86.51427					
2	94.00531876	97.58723	91.70504	95.27783	84.15735	89.90518					
2.333333	93.44481791	96.82635	91.60701	96.64634	85.08057	91.0453					
2.666667	94.33589422	96.7703	91.06924	97.08889	85.02139	91.51275					
3	87.73269558	90.57308	85.19784	92.68867	78.91987	86.02117					
3.333333	90.85469454	94.52756	87.16187	94.6038	81.60836	89.21541					
3.666667	88.10205363	89.75046	82.43705	91.78703	78.9892	85.29624					
4	80.07405629	81.80445	74.21763	82.82221	69.98613	77.40375					
4.333333	80.37138953	80.72915	74.19424	82.21042	73.55557	76.8527					
4.666667	71.83275467	71.43902	64.67086	73.38469	66.03456	68.70368					
5	69.77266012	70.16044	64.29227	72.84585	63.93196	67.09896					
5.333333	66.62480609	65.8184	59.95594	67.03141	60.77425	62.59644					
5.666667	60.64028219	60.51884	56.23471	61.87739	54.6778	58.81693					
6	55.54960479	54.5952	52.49011	58.6171	51.25463	54.79136					
6.333333	52.54764719	49.88649	48.10252	53.26564	47.47468	50.41329					
6.666667	48.60752013	46.52475	44.4991	48.027	42.77405	46.00483					
7	42.41153875	41.92148	39.95863	44.36501	38.72948	43.73029					
7.333333	39.22028514	38.43056	37.32554	41.14071	37.81133	39.6363					
7.666667	35.42605452	34.32884	34.55126	37.32018	34.48792	37.36461					
8	34.59222871	30.84932	31.43345	34.01126	30.31061	34.68913					
8.333333	31.54410135	27.2197	28.89658	31.38416	28.8125	31.32577					
8.666667	27.28170939	24.14674	27.64928	30.02344	25.2363	28.89161					
9	23.14951614	18.90893	21.02338	23.06712	18.01796	24.85463					
9.333333	22.64072542	22.00944	22.18525	25.2896	23.42537	28.21514					
9.666667	19.04687154	17.73864	17.68165	19.65607	15.88407	21.48938					
10	19.99981532	18.41308	19.42446	21.54202	19.0384	23.17106					
10.33333	18.67751348	17.33683	18.26709	19.8399	16.94763	21.54923					
10.66667	17.97480978	15.0124	17.36331	18.8838	18.47703	18.393					
11	19.42454015	15.76378	16.52428	18.21073	16.39134	20.22764					
11.33333	14.66813179	14.56404	14.94604	15.74412	14.91689	17.31559					
11.66667	12.32086134	12.22821	11.61871	13.12577	12.11934	14.1584					
12	10.80002955	10.20585	9.823741	12.88553	8.927817	14.07764					
12.33333	11.65232326	12.2567	13.56205	12.92152	13.60139	14.98499					
12.66667	11.95612026	12.48753	12.16187	13.44674	12.67057	15.33273					
13	9.54975253	10.1783	11.74371	9.708889	9.639675	13.42967					
13.33333	9.54605895	12.57017	11.68435	10.91885	10.74382	14.30092					
13.66667	8.460146266	9.499112	10.26079	9.825606	9.005597	10.44066					
14	11.14445594	9.756538	11.40468	11.58803	8.945571	11.97127					
14.33333	8.146191918	7.586941	8.496403	8.438622	7.626689	9.71383					
14.66667	10.8277314	9.052654	9.725719	10.67958	7.369676	10.23639					
15	11.3420625	9.168543	9.096223	8.779045	7.723069	10.28389					
15.33333	7.809152693	8.720185	8.625	7.657592	7.448302	10.76939					
15.66667	6.874676812	8.823725	8.173561	7.840448	7.140562	10.56227					
16	5.83770407	7.417856	7.830036	7.105133	7.5413	9.547562					
16.33333	3.444263869	4.91864	6.80036	4.957544	4.684567	8.264926					
16.66667	5.240267415	6.087031	7.17536	6.445683	6.198745	7.525748					
17	4.319642461	6.286512	7.479317	5.631584	5.733755	8.039752					
17.33333	4.150661151	6.038585	6.394784	6.150973	5.798008	8.526204					
17.66667	4.60681835	7.189878	5.830036	5.059671	5.314418	7.480143					
18	5.096217774	7.458703	6.055755	4.599613	6.81676	6.437882					
18.33333	2.719398685	6.885906	3.84982	2.676704	4.578888	6.202257					
18.66667	3.933663293	7.733227	5.385791	4.041318	6.350924	6.779919					
19	1.078525523	4.087468	1.147482	0.153677	3.373294	4.411318					
19.33333	4.735170274	6.988497	4.753597	3.273905	5.165621	6.1367					
19.66667	0.389672749	2.225642	1.658273	0	1.069478	2.539619					
20	4.265162148	6.017687	4.598022	3.057979	4.8824	6.555695					
20.33333	3.339920219	6.147825	4.044964	2.915001	4.777565	6.279216					
20.66667	3.71574204	5.221662	4.15018	3.734936	4.80631	5.237905					
21	2.050860604	2.14395	2.361511	1.413245	2.696099	3.552427					
21.33333	1.49128315	3.938332	2.250899	1.075739	2.278453	3.226542					
21.66667	0.998190146	3.800595	1.819245	0.192583	2.384978	3.178087					
22	4.036160154	5.341351	3.102518	3.766061	3.910147	5.395622					
22.33333	1.380475733	3.931682	1.600719	2.616401	2.384978	3.431764					
22.66667	3.040740194	4.894892	3.792266	4.514021	3.681033	3.466917					
23	1.565154761	4.262251	1.736511	3.296276	2.372297	2.272641					
23.33333	3.805311369	5.111472	3.40018	3.520956	4.047953	6.007487					
23.66667	4.918002512	5.02503	3.656475	4.997423	4.171387	5.452628					
24	2.295560316	2.473569	2.735612	3.591958	2.220963	2.022764					
24.33333	0.291792864	1.203537	0.259892	2.026008	0.131888	0					
24.66667	3.21618527	3.355086	2.948741	4.980888	2.730762	3.506822					
25	0.058173894	0.400863	0.196043	1.738107	0	0.403793					
25.33333	0	0	0	1.526072	0.171624	0.962452					
25.66667	3.302061018	2.895329	3.606115	4.717302	2.882095	4.471174					
26	0.508790722	1.040153	0.509892	1.990993	1.654521	2.478813					
26.33333	3.14785403	3.883237	4.264388	5.784288	4.613551	5.384221					
26.66667	2.886533205	3.868038	4.305755	5.326175	5.055714	5.394672					
27	1.117308118	2.588508	2.451439	3.259315	2.902386	3.637936					
27.33333	3.186636626	3.498523	4.019784	4.960462	4.301584	4.895869					
27.66667	1.185639359	2.293086	2.521583	3.11342	3.756277	2.846502					
28	1.653800694	7.553694	2.332734	4.431346	2.973403	4.183293					
28.33333	1.220728374	6.713022	3.160072	2.875123	2.722308	2.837951					
28.66667	3.254967866	8.040998	4.742806	5.268789	4.232259	5.258807					
29	3.509824924	9.051704	4.515288	5.039246	4.523089	5.56474					
29.33333	3.839476989	8.669839	5.044964	5.251281	4.173923	5.503933					
29.66667	3.390706951	9.277783	4.966727	5.539183	4.570433	5.788014					
30	3.61693876	9.41362	5.53777	5.036328	4.894236	5.829818					
30.33333	4.247617641	9.551357	4.776079	5.210431	4.496035	5.85072					
30.66667	3.950284406	9.878126	5.817446	5.806659	4.679495	6.647855					
31	3.912425205	10.1536	6.066547	5.803741	4.083462	6.775168					
31.33333	4.379663145	9.580804	5.502698	5.364108	4.184914	6.825524					
31.66667	2.385129645	8.679338	3.884892	4.010193	2.708781	5.00228					
32	5.207948585	10.6599	6.034173	5.613103	4.837592	7.223616					
32.33333	4.674226195	9.956969	5.90018	6.023557	5.122504	6.961388					
32.66667	2.791423506	8.633743	3.964928	4.599613	3.717387	6.030289					
33	4.101721209	10.03106	6.359712	5.813467	5.2992	6.864478					
33.33333	4.532023343	10.97242	6.298561	5.925321	5.470824	6.639304					
33.66667	2.374972298	9.632099	4.75	5.996323	4.496035	6.024589					
34	1.482972594	9.510511	5.59982	5.089823	4.675268	5.47353					
34.33333	1.694430081	8.953863	5.085432	5.00034	4.020899	5.357618					
34.66667	2.475622368	9.343326	5.414568	5.443864	5.382053	6.204158					
35	3.554147891	11.58132	7.227518	7.581726	7.232715	7.818379					
35.33333	1.217958189	8.605245	3.958633	4.462471	3.745287	5.228404					
35.66667	4.129423063	11.25455	8.620504	7.200451	7.664733	7.892487					
36	4.892147448	12.02018	8.481115	8.034003	7.870175	8.537605					
36.33333	1.880032504	9.275883	5.344424	5.474989	5.629766	5.797515					
36.66667	5.258735318	12.77916	9.283273	7.916314	8.571888	9.615969					
37	5.059281968	12.93399	10.64658	8.378318	8.217649	9.574165					
37.33333	2.794193691	10.61146	7.428957	5.202649	5.527468	6.578497					
37.66667	6.050084952	13.65022	12.39478	9.051385	8.983615	9.762285					
38	6.463765975	13.51439	12.93435	8.545612	8.672495	9.802189					
38.33333	4.5403339	12.2719	11.07554	7.072063	6.925821	8.252575					
38.66667	6.605045431	13.48969	14.77878	7.929931	8.984461	10.65633					
39	7.086134299	13.83166	14.34802	8.706097	9.025042	10.27724					
39.33333	6.955935584	13.61508	14.28777	9.082509	9.523004	10.50336					
39.66667	7.339144567	14.17457	14.28687	8.756675	9.227947	10.92331					
40	7.592154835	14.00359	14.88219	8.646766	8.859336	11.38696					
40.33333	5.990064268	13.91905	12.53957	7.059419	8.288666	9.268232					
40.66667	7.085210903	16.09625	14.52518	9.445304	9.422397	10.62023					
41	7.563529586	17.17819	14.51259	8.631204	9.850189	10.68198					
41.33333	7.52659378	17.51256	14.66547	9.518252	10.10213	10.96606					
41.66667	5.792457709	16.39927	12.82554	8.140021	7.932737	10.22498					
42	7.253268819	16.6301	14.8795	9.784755	10.15116	11.47532					
42.33333	4.513555441	13.9314	11.19065	6.285197	7.080536	8.456846					
42.66667	7.961512891	16.5484	15.00989	9.95983	10.25515	11.25964					
43	8.25792273	16.49521	15.38489	10.3343	10.61024	11.85821					
43.33333	6.70015513	14.73787	13.34263	8.981354	9.356453	10.52997					
43.66667	6.925463544	15.69823	12.8696	8.243121	9.296427	10.14803					
44	8.587574795	16.55315	14.79227	9.745849	11.79892	11.48387					
44.33333	6.76109921	13.96939	12.97752	6.999115	10.23064	9.487706					
44.66667	7.52659378	15.33062	13.09353	8.510597	10.97631	10.58887					
